Volt,Corrente
     0.532,     0.400
     0.532,     0.100
     0.544,     0.200
     0.532,     0.200
     0.536,     0.100
     0.532,     0.100
     0.540,     0.300
     0.540,     0.400
     0.524,     0.100
     0.540,     0.400
     0.528,     0.100
     0.544,     0.500
     0.536,     0.000
     0.528,     0.100
     0.540,     0.200
     0.532,     0.100
     0.540,     0.200
     0.532,     0.200
     0.536,     0.200
     0.540,     0.200
     0.532,     0.300
     0.540,     0.400
     0.532,     0.500
     0.544,     0.300
     0.536,     0.400
     0.536,     0.300
     0.532,     0.200
     0.544,     0.300
     0.532,     0.200
     0.532,     0.400
     0.532,     0.300
     0.536,     0.200
     0.540,     0.400
     0.532,     0.100
     0.532,     0.300
     0.540,     0.300
     0.532,     0.100
     0.536,     0.400
     0.528,     0.100
     0.540,     0.400
     0.528,     0.200
     0.536,     0.300
     0.536,     0.500
     0.524,     0.400
     0.540,     0.400
     0.540,     0.100
     0.532,     0.100
     0.536,     0.200
     0.540,     0.300
     0.532,     0.000
     0.540,     0.300
     0.524,     0.000
     0.540,     0.300
     0.540,     0.300
     0.528,     0.200
     0.532,     0.300
     0.536,     0.300
     0.532,     0.100
     0.532,     0.200
     0.532,     0.200
     0.540,     0.400
     0.540,     0.200
     0.544,     0.200
     0.540,     0.100
     0.532,     0.300
     0.544,     0.400
     0.540,     0.400
     0.656,     0.200
     1.596,     0.500
     1.712,     0.600
     1.768,     0.400
     1.820,     0.700
     1.828,     1.000
     1.812,     0.900
     1.796,     0.600
     1.828,     1.100
     1.868,     1.200
     1.860,     1.000
     1.852,     0.900
     1.860,     1.100
     1.872,     1.200
     1.924,     1.300
     1.948,     1.300
     1.988,     1.300
     2.040,     1.600
     2.060,     1.600
     2.056,     1.500
     2.040,     1.500
     2.016,     1.200
     2.020,     1.100
     2.036,     1.300
     2.080,     1.600
     2.100,     1.900
     2.092,     1.600
     2.076,     1.300
     2.032,     1.300
     2.000,     1.400
     1.976,     1.400
     1.972,     1.100
     1.968,     1.100
     1.964,     1.100
     1.940,     1.000
     1.940,     0.900
     1.948,     1.200
     1.932,     1.300
     1.920,     1.200
     1.916,     1.100
     1.932,     1.200
     1.944,     1.200
     1.948,     1.300
     1.944,     1.100
     1.928,     1.100
     1.940,     0.800
     1.956,     1.400
     1.948,     1.400
     1.952,     1.200
     1.944,     1.100
     1.952,     1.200
     1.960,     0.900
     1.976,     1.100
     1.980,     1.200
     2.012,     1.500
     2.016,     1.400
     1.988,     1.300
     1.988,     1.300
     2.016,     1.300
     2.052,     1.300
     2.104,     1.600
     2.128,     1.600
     2.128,     1.700
     2.144,     1.600
     2.132,     1.700
     2.132,     1.700
     2.120,     1.600
     2.108,     1.400
     2.112,     1.600
     2.100,     1.500
     2.084,     1.900
     2.092,     1.800
     2.084,     1.500
     2.092,     1.600
     2.096,     1.600
     2.108,     1.600
     2.096,     1.700
     2.092,     1.500
     2.096,     1.400
     2.088,     1.500
     2.100,     1.800
     2.096,     1.400
     2.088,     1.500
     2.096,     1.700
     2.092,     1.600
     2.088,     1.600
     2.084,     1.400
